"SaleID","County","Township","TaxDistrict","ParcelNumber","PropertyClass","PostedAV","CurrentAV","SalePrice","PostedSaleRatio","SaleRatio","PostedExplanation","Explanation","Reclassified"
"C02-2022-0192084","Allen","Aboite",75,"02-11-10-452-002.000-075",510,266500,293200,294000,0.906462585034014,0.997278911564626,"Valid - should be in study","ON RATIO STUDY",FALSE
"C03-2022-0028453","Bartholomew","German",10,"03-05-03-210-004.600-010",530,78300,88400,150000,0.522,0.589333333333333,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0028733","Bartholomew","German",10,"03-05-03-210-005.600-010",510,133000,133100,167500,0.794029850746269,0.794626865671642,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0029363","Bartholomew","German",9,"03-05-04-410-003.600-009",510,131400,166900,80000,1.6425,2.08625,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0029974","Bartholomew","German",9,"03-05-04-410-003.600-009",510,131400,166900,199000,0.660301507537688,0.838693467336683,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0030352","Bartholomew","German",9,"03-05-04-410-004.400-009",500,34400,34400,36000,0.955555555555556,0.955555555555556,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0030329","Bartholomew","German",9,"03-05-04-410-006.000-009",510,147500,152300,165000,0.893939393939394,0.923030303030303,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0028826","Bartholomew","German",9,"03-05-22-000-002.602-009",400,6300,8000,210000,0.03,0.0380952380952381,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0029664","Bartholomew","German",9,"03-05-22-140-004.500-009",510,140200,153100,205000,0.68390243902439,0.746829268292683,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0028352","Bartholomew","German",9,"03-05-22-340-000.800-009",510,133800,157800,199900,0.669334667333667,0.789394697348674,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0029174","Bartholomew","German",9,"03-05-22-410-002.700-009",510,182100,183700,197000,0.924365482233503,0.93248730964467,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0029555","Bartholomew","German",9,"03-05-23-000-001.500-009",511,113100,112400,164000,0.689634146341463,0.685365853658537,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0028689","Bartholomew","German",9,"03-05-23-230-003.400-009",510,157000,158500,2e+05,0.785,0.7925,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0029757","Bartholomew","German",9,"03-05-23-310-000.600-009",510,144100,145200,173900,0.828637147786084,0.834962622196665,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0028433","Bartholomew","German",9,"03-05-23-310-004.500-009",510,137800,173500,186500,0.73887399463807,0.93029490616622,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0029588","Bartholomew","German",9,"03-05-23-310-006.400-009",510,173300,198000,210000,0.825238095238095,0.942857142857143,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0029368","Bartholomew","German",9,"03-05-23-310-006.600-009",510,146800,149300,140000,1.04857142857143,1.06642857142857,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0029033","Bartholomew","German",9,"03-05-23-340-002.400-009",510,163600,165000,172000,0.951162790697674,0.959302325581395,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0028634","Bartholomew","German",9,"03-05-24-130-000.400-009",510,232900,268000,3e+05,0.776333333333333,0.893333333333333,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0030064","Bartholomew","German",9,"03-05-24-130-002.400-009",510,139700,180700,224000,0.623660714285714,0.806696428571429,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0028442","Bartholomew","German",9,"03-05-24-130-004.200-009",510,174100,209500,240000,0.725416666666667,0.872916666666667,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0028240","Bartholomew","German",9,"03-05-24-420-002.000-009",510,178000,270300,250000,0.712,1.0812,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0028840","Bartholomew","German",9,"03-05-24-420-004.000-009",510,206900,234200,270000,0.766296296296296,0.867407407407407,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0028167","Bartholomew","German",9,"03-05-26-220-000.100-009",499,221800,224500,195000,1.1374358974359,1.15128205128205,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0029495","Bartholomew","German",9,"03-05-26-230-000.600-009",510,168800,191600,205000,0.823414634146341,0.934634146341463,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0029086","Bartholomew","German",9,"03-05-26-230-001.600-009",509,0,0,205000,0,0,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0030201","Bartholomew","German",9,"03-05-26-230-002.000-009",510,144500,171900,206500,0.699757869249395,0.832445520581114,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0029190","Bartholomew","German",9,"03-05-26-230-002.200-009",510,163400,167200,199900,0.817408704352176,0.836418209104552,"Used In Study","ON RATIO STUDY",FALSE
