"","SaleID","ParcelNumber","Address","City","TotalAV","PropertyClass","Neighborhood","TaxDistrict","Acre","SalePrice","County","SaleRatio","PPA","State","Zip"
"1","C01-2024-0044196",1.0514100005e+16,"NYNE 400 N","DECATUR",200,100,"910501-020",20,0.45,746640,"Adams",0.00026786670952534,1659200,"IN","46733"
"2","C01-2024-0044025",1.0503204021e+16,"NYY331 MERCER","DECATUR",175800,510,"922511-022",22,0.129,292000,"Adams",0.602054794520548,2263565.89147287,"IN","46733"
"3","C01-2024-0044028",10632301004502000,"NYY395 N Salem RD","DECATUR",113100,101,"910501-015",15,10,320000,"Adams",0.3534375,32000,"IN","46733"
"4","C01-2024-0044039",10628101008002000,"NYNN State Hwy 101","DECATUR",20400,100,"910501-015",15,10.72,130000,"Adams",0.156923076923077,12126.8656716418,"IN","46733"
"5","C01-2024-0044044",1.1123300008e+16,"NYY1011 E 1000 S","GENEVA",222600,101,"915501-017",17,5,275000,"Adams",0.809454545454545,55000,"IN","46740"
"6","C01-2024-0044048",1.0234101013e+16,"NYY1002 LEWIS ST","DECATUR",59100,520,"923506-014",14,0.15,450000,"Adams",0.131333333333333,3e+06,"IN","46733"
"7","C01-2024-0044048",1.023410101e+16,"NYY1026 LEWIS ST","DECATUR",60100,520,"923506-014",14,0.157,450000,"Adams",0.133555555555556,2866242.03821656,"IN","46733"
"8","C01-2024-0044056",10421401007003000,"NYNW 200 N","DECATUR",15000,100,"910501-007",7,7.823,132991,"Adams",0.112789587265304,17000,"IN","46733"
"9","C01-2024-0044066",1.0503405001e+16,"NYY510 NIBLICK ST","DECATUR",88100,510,"922513-022",22,0.2,45000,"Adams",1.95777777777778,225000,"IN","46733"
"10","C01-2024-0044076",1.0506200008e+16,"NYNW 550 N","DECATUR",4500,100,"902501-021",21,8.96,625000,"Adams",0.0072,69754.4642857143,"IN","46733"
"11","C01-2024-0044092",1.0503306067e+16,"NYN715 SCHIRMEYER","DECATUR",2100,500,"922512-022",22,0.152,15000,"Adams",0.14,98684.2105263158,"IN","46733"
"12","C01-2024-0044097",10728201001001000,"NYNW 400 S","BERNE",36200,100,"910501-003",3,16.58,285216,"Adams",0.126921350835858,17202.4125452352,"IN","46711"
"13","C01-2024-0044099",10820300007700000,"YYNS 200  W","BERNE",3300,100,"910501-008",8,0.023,3100,"Adams",1.06451612903226,134782.608695652,"IN","46711"
"14","C01-2024-0044107",10329200006500000,"YYNN 500 E","DECATUR",4200,100,"902501-016",16,2,21000,"Adams",0.2,10500,"IN","46733"
