"SaleID","County","Township","TaxDistrict","ParcelNumber","PropertyClass","PostedAV","CurrentAV","SalePrice","PostedSaleRatio","SaleRatio","PostedExplanation","Explanation","Reclassified"
"C01-2021-0040330","Adams","Washington",22,"01-05-03-200-010.000-022",510,77100,95800,134000,0.575373134328358,0.714925373134328,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
"C01-2021-0040336","Adams","Washington",22,"01-05-03-113-101.000-022",510,97400,101300,60000,1.62333333333333,1.68833333333333,"Forced sale other than Foreclosure","FORCED SALE",TRUE
"C01-2021-0040338","Adams","Root",14,"01-02-34-306-004.000-014",510,46200,52300,17000,2.71764705882353,3.07647058823529,"Significant Physical Change","CHANGES AFTER",TRUE
"C01-2021-0040342","Adams","Preble",12,"01-01-13-200-002.000-012",511,314900,367200,554750,0.567643082469581,0.661919783686345,"Not Typical of the NBHD","AV DOES NOT REFLECT MARKET VALUE",TRUE
"C01-2021-0040345","Adams","Washington",22,"01-05-05-201-001.001-022",500,24100,231400,26000,0.926923076923077,8.9,"Significant Physical Change","CHANGES AFTER",TRUE
"C01-2021-0040351","Adams","Washington",22,"01-05-03-306-074.000-022",510,60600,68900,20000,3.03,3.445,"Not Listed on Market","NOT LISTED ON OPEN MARKET",TRUE
"C01-2021-0040353","Adams","Washington",22,"01-05-01-100-010.000-022",500,28600,241300,31000,0.92258064516129,7.78387096774194,"Significant Physical Change","CHANGES AFTER",TRUE
"C01-2021-0040355","Adams","Wabash",17,"01-11-09-300-011.000-017",480,304700,345700,516000,0.590503875968992,0.669961240310078,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
"C01-2021-0040357","Adams","Wabash",17,"01-11-09-300-011.000-017",480,304700,345700,350000,0.870571428571429,0.987714285714286,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
"C01-2021-0040359","Adams","Washington",22,"01-05-03-104-059.000-022",454,60200,66100,2e+05,0.301,0.3305,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
"C01-2021-0040361","Adams","Wabash",19,"01-11-29-203-004.000-019",500,8200,8400,10000,0.82,0.84,"Valued with Developer's Discount","BUSINESS TRANSACTION",TRUE
"C01-2021-0040378","Adams","Union",16,"01-03-31-401-021.001-016",511,133800,149500,210000,0.637142857142857,0.711904761904762,"Adjacent Property Owner","ADJACENT OWNER",TRUE
"C01-2021-0040381","Adams","Monroe",10,"01-08-33-401-050.000-010",510,112600,125800,80000,1.4075,1.5725,"Relationship Sale","PRE-EXISTING RELATIONSHIP",TRUE
"C01-2021-0040390","Adams","Wabash",18,"01-11-05-202-081.000-018",510,102800,118800,189500,0.542480211081794,0.626912928759894,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
"C01-2021-0040398","Adams","Root",13,"01-02-07-100-008.000-013",415,220800,220800,475000,0.464842105263158,0.464842105263158,"Significant amount of Personal Property","SALE DOES NOT REFLECT MARKET VALUE",TRUE
"C01-2021-0040404","Adams","Washington",22,"01-05-03-409-014.000-022",510,66100,74800,95000,0.695789473684211,0.787368421052632,"Significant Physical Change","CHANGES AFTER",TRUE
"C01-2021-0040407","Adams","Washington",22,"01-05-05-201-001.005-022",500,22200,217800,27900,0.795698924731183,7.80645161290323,"Significant Physical Change","CHANGES AFTER",TRUE
"C01-2021-0040411","Adams","Washington",22,"01-05-03-100-003.000-022",510,80300,71800,39500,2.03291139240506,1.81772151898734,"Relationship Sale","PRE-EXISTING RELATIONSHIP",TRUE
"C01-2021-0040431","Adams","Washington",22,"01-05-03-104-059.000-022",454,60200,66100,220000,0.273636363636364,0.300454545454545,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
"C01-2021-0040436","Adams","Root",14,"01-02-28-401-001.258-014",510,189900,257300,45000,4.22,5.71777777777778,"Significant Physical Change","CHANGES AFTER",TRUE
"C01-2021-0040450","Adams","Root",13,"01-02-25-100-022.000-013",511,80800,85900,45000,1.79555555555556,1.90888888888889,"Purchased by LLC","BUSINESS TRANSACTION",TRUE
"C01-2021-0040452","Adams","Washington",22,"01-05-03-200-018.000-022",510,68700,78400,26500,2.59245283018868,2.95849056603774,"Auction","UNIQUE SALE",TRUE
"C01-2021-0040486","Adams","Washington",22,"01-05-03-306-005.000-022",510,33600,36900,5000,6.72,7.38,"Not Typical Improvement for the Neighborhood","CHANGES AFTER",TRUE
"C01-2021-0040497","Adams","Washington",22,"01-05-01-101-014.085-022",500,400,229300,40000,0.01,5.7325,"Significant Physical Change","CHANGES AFTER",TRUE
"C01-2021-0040498","Adams","Washington",22,"01-05-03-106-039.000-022",599,21300,23500,23000,0.926086956521739,1.02173913043478,"Not Typical Improvement for the Neighborhood","CHANGES AFTER",TRUE
"C01-2021-0040500","Adams","Root",14,"01-02-34-403-025.000-014",400,12100,12100,2802000,0.00431834403997145,0.00431834403997145,"Trust Sale","UNIQUE SALE",TRUE
"C01-2021-0040501","Adams","Washington",22,"01-05-02-101-079.000-022",510,112400,128600,65000,1.72923076923077,1.97846153846154,"Forced sale other than Foreclosure","FORCED SALE",TRUE
"C01-2021-0040502","Adams","Root",13,"01-02-36-100-021.000-013",511,131500,147600,90000,1.46111111111111,1.64,"Not Listed on Market","NOT LISTED ON OPEN MARKET",TRUE
"C01-2021-0040511","Adams","Washington",22,"01-05-02-100-012.000-022",454,122200,134100,249000,0.490763052208835,0.53855421686747,"Private Sale","NOT LISTED ON OPEN MARKET",TRUE
"C01-2021-0040512","Adams","Preble",12,"01-01-36-300-021.000-012",599,53900,12700,35000,1.54,0.362857142857143,"Not Typical Improvement for the Neighborhood","CHANGES AFTER",TRUE
"C01-2021-0040513","Adams","Washington",22,"01-05-03-113-057.000-022",510,145700,173200,250000,0.5828,0.6928,"Not Typical of the NBHD","AV DOES NOT REFLECT MARKET VALUE",TRUE
"C01-2021-0040518","Adams","Monroe",11,"01-08-04-202-030.000-011",429,29400,32600,50000,0.588,0.652,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
"C01-2021-0040520","Adams","Hartford",5,"01-10-03-400-008.000-005",511,88200,99300,57000,1.54736842105263,1.74210526315789,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
"C01-2021-0040521","Adams","Root",14,"01-02-34-404-013.000-014",510,117000,137700,43000,2.72093023255814,3.20232558139535,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
