"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"1","Randolph, Tipton","Industrial Vacant",3,NA,NA,NA,NA,NA,NA,NA,0
"df_sp","Adams, Allen, Blackford, Delaware, Huntington, Wells","Industrial Improved",3,0.72,0.78,1,29.29,43.64,1.17,0,8
"df_sp1","Allen, Delaware, Hamilton, Huntington, Jay, Madison, Tipton, Wabash, Wells","Commercial Vacant",3,0.03,0.18,0.38,180.99,115.46,1.01,0,18
"2.5%","Adams, Allen, Blackford, Delaware, Grant, Hamilton, Henry, Howard, Huntington, Jay, Tipton, Wabash, Wells","Commercial Improved",3,0.87,0.89,0.94,24.62,36.83,1.26,0,169
"2.5%1","Adams, Allen, Blackford, Delaware, Grant, Hamilton, Henry, Howard, Huntington, Jay, Madison, Randolph, Tipton, Wayne, Wells","Residential Vacant",3,0.34,0.71,0.86,63.89,83.3,1.32,0,159
"2.5%2","Adams, Allen, Blackford, Delaware, Grant, Hamilton, Henry, Howard, Huntington, Jay, Madison, Miami, Randolph, Tipton, Wabash, Wayne, Wells","Residential Improved",3,0.95,0.96,0.96,16.52,26.88,1.05,0,5378
"11","Kosciusko, Lagrange, Noble","Industrial Vacant",1,NA,NA,NA,NA,NA,NA,NA,0
"2.5%3","Dekalb, Elkhart, Kosciusko, Lagrange, Noble, Whitley","Industrial Improved",1,0.54,0.68,0.85,28.77,33.6,1.11,0,27
"df_sp2","Kosciusko, Noble, Steuben, Whitley","Commercial Vacant",1,0.08,0.3,0.7,88.72,84.2,1.83,0,14
"2.5%4","Allen, Dekalb, Elkhart, Kosciusko, Lagrange, Noble, Steuben, Wabash, Whitley","Commercial Improved",1,0.81,0.87,0.94,27.31,38.01,1.32,0,102
"2.5%5","Allen, Dekalb, Elkhart, Kosciusko, Lagrange, Noble, Steuben, Whitley","Residential Vacant",1,0.79,0.87,0.93,40.52,61.8,1.56,0,126
"2.5%6","Allen, Dekalb, Elkhart, Huntington, Kosciusko, Lagrange, Noble, St. Joseph, Steuben, Wabash, Whitley","Residential Improved",1,0.95,0.95,0.96,16.39,32.51,1.04,0,3220
"df_sp3","Dearborn, Jefferson, Jennings, Scott, Shelby","Industrial Vacant",7,0.41,0.55,0.67,55.34,77.11,1.13,0,6
"2.5%7","Decatur, Fayette, Henry, Jackson, Jennings, Ripley, Rush, Wayne","Industrial Improved",7,0.52,0.81,0.96,35.74,51.63,1.08,0,21
"2.5%8","Decatur, Fayette, Henry, Jackson, Jefferson, Jennings, Ripley, Scott, Switzerland, Washington","Commercial Vacant",7,0.93,1.02,1.02,27.81,50.82,1.19,0,30
"2.5%9","Bartholomew, Brown, Dearborn, Decatur, Fayette, Franklin, Hancock, Henry, Jackson, Jefferson, Jennings, Johnson, Ohio, Ripley, Rush, Scott, Shelby, Switzerland, Union, Wayne","Commercial Improved",7,0.83,0.86,0.89,29.24,41.18,1.19,0,266
"2.5%10","Bartholomew, Brown, Clark, Dearborn, Decatur, Fayette, Franklin, Henry, Jackson, Jefferson, Jennings, Johnson, Ohio, Ripley, Rush, Scott, Shelby, Switzerland, Union, Washington, Wayne","Residential Vacant",7,0.7,0.75,0.78,42.5,56.31,1.22,0,705
"2.5%11","Bartholomew, Brown, Clark, Dearborn, Decatur, Fayette, Floyd, Franklin, Hancock, Henry, Jackson, Jefferson, Jennings, Johnson, Ohio, Ripley, Rush, Scott, Shelby, Switzerland, Union, Washington, Wayne","Residential Improved",7,0.91,0.92,0.92,17.34,26.95,1.05,0,6210
"12","Jasper, Newton, Pulaski","Industrial Vacant",5,NA,NA,NA,NA,NA,NA,NA,0
"df_sp4","Jasper, Lake, Newton, Pulaski, Warren","Industrial Improved",5,0.48,0.9,1.35,50.42,59.85,1.74,0,9
"df_sp5","Fountain, Jasper, Pulaski","Commercial Vacant",5,0.22,0.51,0.98,69.21,68.69,0.63,0,10
"2.5%12","Benton, Fountain, Jasper, Lake, Laporte, Newton, Porter, Pulaski, Tippecanoe, Warren, White","Commercial Improved",5,0.9,0.94,0.96,22.73,58.07,1.16,0,101
"2.5%13","Benton, Fountain, Jasper, Lake, Laporte, Newton, Porter, Pulaski, Starke, Tippecanoe, Warren, White","Residential Vacant",5,0.86,0.89,0.94,29.2,43.36,1.21,0,213
"2.5%14","Benton, Fountain, Jasper, Lake, Laporte, Newton, Porter, Pulaski, Starke, Tippecanoe, Warren, White","Residential Improved",5,0.96,0.97,0.97,29.76,91.42,1.15,0,2977
"13","","Industrial Vacant",2,NA,NA,NA,NA,NA,NA,NA,0
"df_sp6","Boone, Clay, Clinton, Montgomery, Morgan, Owen, Putnam","Industrial Improved",2,0.54,0.67,0.89,33.86,36.31,1.47,0,12
"2.5%15","Boone, Clay, Clinton, Greene, Hamilton, Hendricks, Montgomery, Morgan, Parke, Putnam, Vigo","Commercial Vacant",2,0.32,0.4,0.71,88,71.75,1.3,0,44
"2.5%16","Boone, Brown, Clay, Clinton, Fountain, Greene, Hamilton, Hendricks, Johnson, Montgomery, Morgan, Owen, Parke, Putnam, Sullivan, Tippecanoe, Vermillion, Vigo","Commercial Improved",2,0.93,0.95,0.98,25.85,49.1,1.22,0,132
"2.5%17","Boone, Brown, Clay, Clinton, Fountain, Greene, Hamilton, Hendricks, Johnson, Monroe, Montgomery, Morgan, Owen, Parke, Putnam, Sullivan, Tippecanoe, Vermillion, Vigo, Warren","Residential Vacant",2,0.75,0.81,0.85,37.68,53.97,0.99,0,578
