"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"1","","Industrial Vacant",3,NA,NA,NA,NA,NA,NA,NA,0
"df_sp","Allen, Blackford, Delaware, Wells","Industrial Improved",3,0.72,0.82,1,10.2,13.52,1.02,0,5
"11","Allen, Delaware","Commercial Vacant",3,NA,NA,NA,NA,NA,NA,NA,0
"2.5%","Adams, Blackford, Delaware, Grant, Henry, Howard, Huntington, Jay, Tipton, Wabash, Wells","Commercial Improved",3,0.89,0.95,0.98,22.28,76.03,1.07,0,110
"2.5%1","Adams, Allen, Blackford, Delaware, Henry, Howard, Huntington, Tipton, Wayne, Wells","Residential Vacant",3,0.94,0.98,1,17.07,27.69,0.95,0,58
"2.5%2","Adams, Henry, Howard, Huntington, Jay, Randolph, Wells, Allen, Blackford, Delaware, Grant, Hamilton, Madison, Miami, Tipton, Wabash, Wayne","Residential Improved",3,0.95,0.96,0.96,13.76,40.38,1.03,0,4729
"12","Kosciusko, Lagrange","Industrial Vacant",1,NA,NA,NA,NA,NA,NA,NA,0
"2.5%3","Elkhart, Kosciusko, Lagrange, Whitley","Industrial Improved",1,0.54,0.65,0.85,27.68,29.47,1.13,0,21
"13","Kosciusko, Whitley","Commercial Vacant",1,NA,NA,NA,NA,NA,NA,NA,0
"2.5%4","Whitley, Elkhart, Kosciusko, Lagrange, Noble, Wabash","Commercial Improved",1,0.83,0.9,0.98,22.16,28.86,1.18,0,68
"2.5%5","Allen, Elkhart, Kosciusko, Lagrange, Noble, Whitley","Residential Vacant",1,0.89,0.95,1,16.61,25.63,1.09,0,50
"2.5%6","Dekalb, Elkhart, Noble, Steuben, Whitley, Allen, Huntington, Kosciusko, Lagrange, St. Joseph, Wabash","Residential Improved",1,0.95,0.95,0.96,12.1,22.84,1.02,0,2959
"14","Shelby","Industrial Vacant",7,NA,NA,NA,NA,NA,NA,NA,0
"df_sp1","Decatur, Fayette, Henry, Jackson, Jennings, Wayne","Industrial Improved",7,0.65,0.9,0.98,18.44,25.87,1.06,0,11
"df_sp2","Jackson, Scott, Washington, Decatur, Fayette, Henry, Switzerland","Commercial Vacant",7,0.92,1.01,1.02,14.03,33.93,0.99,0,14
"2.5%7","Brown, Dearborn, Decatur, Fayette, Jackson, Jefferson, Jennings, Johnson, Ohio, Ripley, Scott, Shelby, Switzerland, Wayne","Commercial Improved",7,0.89,0.92,0.95,16.72,21.81,1.02,0,180
