"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"1","Adams","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2","Adams","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"3","Adams","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2.5%","Adams","Commercial Improved","Countywide",0.87,0.98,1.04,12.34,14.77,1.03,0,26
"df_sp","Adams","Residential Vacant","Countywide",0.53,1.1,1.42,42.16,59.86,3.41,0,7
"2.5%1","Adams","Residential Improved","Countywide",0.92,0.94,0.95,14.47,19,1.03,0,707
"2.5%2","Adams","Residential Improved","Blue Creek",0.91,0.95,0.97,15.44,19.86,1.03,0,137
"2.5%3","Adams","Residential Improved","Hartford",0.88,0.93,0.97,15.68,20.76,1.03,0,122
"2.5%4","Adams","Residential Improved","Preble",0.82,0.91,1.01,16.46,23.19,1.02,0,30
"2.5%5","Adams","Residential Improved","Washington",0.9,0.92,0.96,15.24,18.8,1.03,0,206
"2.5%6","Adams","Residential Improved","Root",0.91,0.94,0.96,12.35,16.95,1.02,0,212
"df_sp1","Allen","Industrial Vacant","Countywide",0.84,0.95,1.02,22.18,31.16,1.49,0,12
"2.5%7","Allen","Industrial Improved","Countywide",0.82,0.9,0.93,15.67,27.59,1.3,0,23
"df_sp2","Allen","Commercial Vacant","Countywide",0.91,0.93,0.99,6.04,7.47,1.03,0,12
"2.5%8","Allen","Commercial Improved","Countywide",0.89,0.93,0.95,14.97,24.2,1.21,0,104
"df_sp3","Allen","Commercial Improved","Aboite",0.93,0.99,1.03,5.41,6.92,1.03,0,6
"2.5%9","Allen","Commercial Improved","Adams",0.85,0.92,0.94,12.6,20.97,1.11,0,42
"2.5%10","Allen","Commercial Improved","Perry",0.89,0.96,0.98,11.07,17.87,1.12,0,20
"2.5%11","Allen","Commercial Improved","Washington",0.83975,0.9,0.97,19.76,29.16,1.19,0,30
"2.5%12","Allen","Residential Vacant","Countywide",0.76,0.94,1.06,37.78,56.67,2.05,0,68
"df_sp4","Allen","Residential Vacant","Aboite",0.6,1.06,1.13,28.93,53.6,2.52,0,14
"df_sp5","Allen","Residential Vacant","Adams",0.66,0.75,1.05,40.13,50.14,1.32,0,9
"df_sp6","Allen","Residential Vacant","Cedar Creek",0.93,1.13,1.16,14.16,21.09,1.11,0,13
"df_sp7","Allen","Residential Vacant","Eel River",0.03,0.75,0.93,55.23,84.15,2.04,0,14
"df_sp8","Allen","Residential Vacant","Perry",0.52,1.05,1.1,30.45,53.53,1.17,0,13
"11","Allen","Residential Vacant","St. Joseph",NA,NA,NA,NA,NA,NA,NA,2
"2.5%13","Allen","Residential Improved","Countywide",0.99,0.99,0.99,15.58,49.73,1.05,0,6142
"2.5%14","Allen","Residential Improved","Aboite",0.99,1,1,15.69,54.11,1.07,0,948
"2.5%15","Allen","Residential Improved","Adams",0.95,0.97,0.98,10.9,21.95,1.01,0,410
"2.5%16","Allen","Residential Improved","Cedar Creek",0.99,1,1.01,60.71,86.8,1.35,0,236
