"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"2.5%","Statewide","2022","Statewide",0.11,0.11,0.11,57.03,68.73,1.05,0,4680
"2.5%1","Adams","2022","Countywide",0.11,0.12,0.13,39.81,52.46,1.01,0,61
"2.5%2","Allen","2022","Countywide",0.1,0.12,0.14,56.36,74.92,0.93,0,90
"2.5%3","Bartholomew","2022","Countywide",0.08,0.11,0.13,53.82,70,1.17,0,44
"2.5%4","Benton","2022","Countywide",0.12,0.14,0.18,40.36,46.41,1.11,0,36
"2.5%5","Blackford","2022","Countywide",0.11,0.14,0.22,46.75,46.63,1.1,0,20
"2.5%6","Boone","2022","Countywide",0.13,0.14,0.16,32.54,47.86,1.08,0,33
"2.5%7","Brown","2022","Countywide",0.02,0.04,0.06,121.78,116.06,1.25,0,35
"2.5%8","Carroll","2022","Countywide",0.13,0.15,0.17,36.23,44.59,1.06,0,48
"2.5%9","Cass","2022","Countywide",0.14,0.16,0.19,39.72,46.71,1.03,0,56
"2.5%10","Clark","2022","Countywide",0.06,0.09,0.12,63.78,68.23,1.06,0,47
"2.5%11","Clay","2022","Countywide",0.1,0.11,0.13,52.94,66.62,1.02,0,89
"2.5%12","Clinton","2022","Countywide",0.14,0.15,0.16,30.87,42.8,1.02,0,32
"2.5%13","Crawford","2022","Countywide",0.04,0.07,0.09,83.55,93.08,1.5,0,40
"2.5%14","Daviess","2022","Countywide",0.07,0.08,0.11,64.4,75.44,1.01,0,62
"2.5%15","Dearborn","2022","Countywide",0.02,0.03,0.04,185.12,134.28,1.22,0,58
"2.5%16","Decatur","2022","Countywide",0.11,0.14,0.18,44.05,53.83,1.17,0,35
"2.5%17","Dekalb","2022","Countywide",0.09,0.11,0.13,55.56,64.18,1.32,0,63
"2.5%18","Delaware","2022","Countywide",0.1,0.11,0.14,53.4,67.35,0.97,0,59
"2.5%19","Dubois","2022","Countywide",0.08,0.1,0.11,54.74,67.77,0.91,0,53
"2.5%20","Elkhart","2022","Countywide",0.09,0.11,0.12,40.24,52.36,1.1,0,35
"2.5%21","Fayette","2022","Countywide",0.08,0.11,0.13,47.92,59.48,1.07,0,28
"df_sp","Floyd","2022","Countywide",0.06,0.09,0.18,86.3,82.64,1.17,0,15
