"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"1","Adams","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2","Adams","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"3","Adams","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2.5%","Adams","Commercial Improved","Countywide",0.85,0.95,1.05,13.46,15.3,1.02,0,26
"df_sp","Adams","Residential Vacant","Countywide",0.74,0.95,1.24,19.4,23.85,1.01,0,5
"2.5%1","Adams","Residential Improved","Countywide",0.93,0.95,0.96,13.49,17.48,1.02,0,679
"2.5%2","Adams","Residential Improved","Blue Creek",0.91,0.95,0.97,14.77,18.87,1.02,0,133
"2.5%3","Adams","Residential Improved","Hartford",0.9,0.95,0.97,14.44,19.08,1.03,0,116
"2.5%4","Adams","Residential Improved","Preble",0.87,0.95,1.03,12.56,15.4,1.02,0,27
"2.5%5","Adams","Residential Improved","Washington",0.9,0.95,0.97,14.02,17.44,1.02,0,195
"2.5%6","Adams","Residential Improved","Root",0.92,0.95,0.96,11.79,15.93,1.01,0,208
"df_sp1","Allen","Industrial Vacant","Countywide",0.88,0.94,1,7.8,9.3,1.01,0,10
"df_sp2","Allen","Industrial Improved","Countywide",0.88,0.91,0.93,5.46,7.46,1.03,0,17
"df_sp3","Allen","Commercial Vacant","Countywide",0.91,0.93,0.99,6.04,7.47,1.03,0,12
"2.5%7","Allen","Commercial Improved","Countywide",0.91,0.94,0.96,7.91,10.38,1,0,83
"df_sp4","Allen","Commercial Improved","Aboite",0.93,0.99,1.03,5.41,6.92,1.03,0,6
"2.5%8","Allen","Commercial Improved","Adams",0.86,0.92,0.94,7.45,9.46,0.99,0,35
"df_sp5","Allen","Commercial Improved","Perry",0.89,0.97,0.98,8.65,12.96,1.02,0,19
"2.5%9","Allen","Commercial Improved","Washington",0.88,0.92,0.98,7.71,9.5,1.01,0,22
"2.5%10","Allen","Residential Vacant","Countywide",0.9,0.93,0.98,15.05,20.63,0.97,0,51
"df_sp6","Allen","Residential Vacant","Aboite",0.92,0.96,0.99,9.34,16.92,0.98,0,11
"df_sp7","Allen","Residential Vacant","Adams",0.57,0.75,0.91,20.07,24.13,1.04,0,7
"df_sp8","Allen","Residential Vacant","Cedar Creek",0.81,0.98,1.01,11.87,18.03,0.99,0,13
"df_sp9","Allen","Residential Vacant","Eel River",0.75,0.9,1.15,17.96,21.06,1.04,0,8
"df_sp10","Allen","Residential Vacant","Perry",0.91,0.95,1.09,14.02,20.66,1,0,10
"11","Allen","Residential Vacant","St. Joseph",NA,NA,NA,NA,NA,NA,NA,0
"2.5%11","Allen","Residential Improved","Countywide",0.99,0.99,0.99,16.91,57.65,1.06,0,6079
"2.5%12","Allen","Residential Improved","Aboite",0.99,1,1,19.84,69.61,1.1,0,949
"2.5%13","Allen","Residential Improved","Adams",0.95,0.97,0.98,10.57,21.65,1.01,0,402
"2.5%14","Allen","Residential Improved","Cedar Creek",0.99,1,1.01,67.53,95.73,1.39,0,237
