SaleID,County,Township,TaxDistrict,ParcelNumber,PropertyClass,PostedAV,CurrentAV,SalePrice,PostedSaleRatio,SaleRatio,MultiParcel,Primary,StudySection
C01-2020-1053465,Adams,Washington,22,01-05-02-301-031.000-022,510,75700,75700,98100,0.77166157,0.77166157,N,Y,ResImp
C01-2020-1067378,Adams,Washington,22,01-05-03-103-060.000-022,510,72700,72700,79800,0.911027569,0.911027569,N,Y,ResImp
C01-2020-1102707,Adams,Washington,22,01-05-02-102-112.000-022,510,131100,131100,158500,0.827129338,0.827129338,N,Y,ResImp
C01-2020-1107079,Adams,Root,13,01-02-35-100-004.000-013,510,208000,208000,263600,0.789074355,0.789074355,N,Y,ResImp
C01-2020-1135724,Adams,Wabash,18,01-11-05-202-044.000-018,510,186600,186600,194200,0.960865088,0.960865088,N,Y,ResImp
C01-2020-1230997,Adams,St. Marys,15,01-06-08-300-010.000-015,510,173300,173300,213000,0.813615023,0.813615023,N,Y,ResImp
C01-2020-1235378,Adams,Root,14,01-02-33-200-206.000-014,510,239800,239800,197300,1.215408008,1.215408008,N,Y,ResImp
C01-2020-1247693,Adams,Root,14,01-02-28-401-001.240-014,510,191500,191500,191900,0.997915581,0.997915581,N,Y,ResImp
C01-2020-1295668,Adams,Wabash,18,01-11-05-202-104.000-018,510,189700,189700,189900,0.998946814,0.998946814,N,Y,ResImp
C01-2020-1345975,Adams,Wabash,18,01-11-05-105-048.000-018,510,212700,212700,205600,1.034533074,1.034533074,N,Y,ResImp
C01-2020-1538695,Adams,Washington,22,01-05-01-101-048.000-022,510,280500,280500,289600,0.968577348,0.968577348,N,Y,ResImp
C01-2020-1542463,Adams,Root,13,01-02-34-200-002.000-013,511,228600,228600,292500,0.781538462,0.781538462,N,Y,ResImp
C01-2020-1615527,Adams,Washington,22,01-05-01-100-007.000-022,510,319200,319200,306600,1.04109589,1.04109589,N,Y,ResImp
C01-2020-1672807,Adams,Root,14,01-02-34-405-004.000-014,510,100800,100800,125100,0.805755396,0.805755396,N,Y,ResImp
C01-2020-1678122,Adams,Wabash,17,01-11-35-100-002.000-017,510,91900,91900,80900,1.135970334,1.135970334,N,Y,ResImp
C01-2020-1733689,Adams,Monroe,10,01-08-33-401-061.000-010,510,65100,65100,56800,1.146126761,1.146126761,N,Y,ResImp
C01-2020-1840152,Adams,Root,14,01-02-36-302-020.000-014,510,178300,178300,186100,0.95808705,0.95808705,N,Y,ResImp
C01-2020-1858812,Adams,Washington,22,01-05-04-206-010.000-022,510,137100,137100,126400,1.084651899,1.084651899,N,Y,ResImp
C01-2020-1911396,Adams,Washington,20,01-05-16-201-033.000-020,510,338300,338300,356800,0.948150224,0.948150224,N,Y,ResImp
C01-2020-1928136,Adams,Washington,20,01-05-18-400-001.000-020,510,279000,279000,267800,1.041822255,1.041822255,N,Y,ResImp
C01-2020-1950501,Adams,St. Marys,15,01-06-20-100-025.000-015,511,188500,188500,218400,0.863095238,0.863095238,N,Y,ResImp
C01-2020-1979696,Adams,Root,14,01-02-28-401-001.239-014,510,181000,181000,190100,0.952130458,0.952130458,N,Y,ResImp
C01-2020-1990577,Adams,Root,14,01-02-34-406-034.000-014,510,171400,171400,155900,1.099422707,1.099422707,N,Y,ResImp
C01-2020-2016222,Adams,Washington,22,01-05-03-204-074.000-022,510,76000,76000,73500,1.034013605,1.034013605,N,Y,ResImp
C01-2020-2021746,Adams,Root,14,01-02-28-301-001.217-014,510,174600,174600,193800,0.900928793,0.900928793,N,Y,ResImp
C01-2020-2059244,Adams,Washington,23,01-05-34-200-019.000-023,510,88200,88200,91900,0.959738847,0.959738847,N,Y,ResImp
