"SaleID","County","Township","TaxDistrict","ParcelNumber","PropertyClass","PostedAV","CurrentAV","SalePrice","PostedSaleRatio","SaleRatio","PostedExplanation","Explanation","Reclassified"
"C03-2023-0030554","Bartholomew","Clay",1,"03-97-19-000-000.600-001",511,226600,277900,265000,0.855094339622641,1.04867924528302,"Included In Study","ON RATIO STUDY",FALSE
"C03-2023-0030755","Bartholomew","Clay",1,"03-97-18-410-000.700-001",510,180500,203700,221500,0.81489841986456,0.919638826185102,"Included In Study","ON RATIO STUDY",FALSE
"C03-2023-0030924","Bartholomew","Clay",1,"03-97-18-420-000.300-001",510,218600,227600,219900,0.994088221919054,1.0350159163256,"Included In Study","ON RATIO STUDY",FALSE
"C03-2023-0030933","Bartholomew","Clay",1,"03-96-23-110-000.800-001",510,325800,337800,384900,0.846453624318005,0.877630553390491,"Included In Study","ON RATIO STUDY",FALSE
"C03-2023-0031565","Bartholomew","Clay",1,"03-96-15-000-001.000-001",510,173400,180600,174000,0.996551724137931,1.03793103448276,"Included In Study","ON RATIO STUDY",FALSE
"C03-2023-0031793","Bartholomew","Clay",1,"03-97-18-420-001.200-001",510,185100,201500,184900,1.00108166576528,1.08977825851812,"Included In Study","ON RATIO STUDY",FALSE
"C03-2023-0032013","Bartholomew","Clay",1,"03-97-30-000-002.501-001",512,385400,445000,499000,0.772344689378758,0.891783567134269,"Included In Study","ON RATIO STUDY",FALSE
"C03-2023-0032057","Bartholomew","Clay",1,"03-96-23-120-001.300-001",510,330900,346900,360000,0.919166666666667,0.963611111111111,"Included In Study","ON RATIO STUDY",FALSE
"C03-2023-0032118","Bartholomew","Clay",1,"03-96-13-000-001.701-001",511,288500,333000,295000,0.977966101694915,1.12881355932203,"Included In Study","ON RATIO STUDY",FALSE
"C03-2023-0031444","Bartholomew","Clay",1,"03-96-23-140-001.800-001",510,145300,190800,233000,0.623605150214592,0.818884120171674,"Included In Study","ON RATIO STUDY",FALSE
