"SaleID","County","Township","TaxDistrict","ParcelNumber","PropertyClass","PostedAV","CurrentAV","SalePrice","PostedSaleRatio","SaleRatio","MultiParcel","Primary","StudySection"
"C01-2021-0040326","Adams","Root",13,"01-02-25-100-002.000-013","511",162400,162400,154800,1.04909560723514,1.04909560723514,"N","Y","ResImp"
"C01-2021-0040333","Adams","Root",13,"01-02-21-400-009.000-013","511",243600,243600,262200,0.929061784897025,0.929061784897025,"N","Y","ResImp"
"C01-2021-0040334","Adams","Washington",22,"01-05-04-204-018.000-022","510",136900,136900,104500,1.31004784688995,1.31004784688995,"N","Y","ResImp"
"C01-2021-0040335","Adams","Washington",22,"01-05-02-101-028.000-022","510",181900,181900,172700,1.05327156919514,1.05327156919514,"N","Y","ResImp"
"C01-2021-0040337","Adams","Root",14,"01-02-36-301-022.000-014","510",263400,263400,268000,0.982835820895522,0.982835820895522,"N","Y","ResImp"
"C01-2021-0040341","Adams","Washington",22,"01-05-03-115-016.000-022","510",101700,101700,101600,1.0009842519685,1.0009842519685,"N","Y","ResImp"
"C01-2021-0040348","Adams","Washington",22,"01-05-03-113-081.000-022","510",124800,124800,115600,1.07958477508651,1.07958477508651,"N","Y","ResImp"
"C01-2021-0040354","Adams","Washington",22,"01-05-10-201-009.000-022","510",93000,93000,104700,0.888252148997135,0.888252148997135,"N","Y","ResImp"
"C01-2021-0040356","Adams","Wabash",17,"01-11-09-300-011.000-017","480",477100,477100,384200,1.24180114523686,1.24180114523686,"N","Y","ComImp"
"C01-2021-0040358","Adams","Washington",22,"01-05-03-106-040.000-022","510",98100,98100,98700,0.993920972644377,0.993920972644377,"N","Y","ResImp"
"C01-2021-0040363","Adams","Wabash",18,"01-11-05-202-011.000-018","510",133700,133700,140100,0.954318344039971,0.954318344039971,"N","Y","ResImp"
"C01-2021-0040368","Adams","Monroe",10,"01-08-33-301-232.000-010","510",118700,118700,123700,0.959579628132579,0.959579628132579,"N","Y","ResImp"
"C01-2021-0040370","Adams","Monroe",10,"01-08-33-301-455.000-010","510",89100,89100,112500,0.792,0.792,"N","Y","ResImp"
"C01-2021-0040373","Adams","Washington",22,"01-05-02-102-086.000-022","510",172300,172300,180400,0.95509977827051,0.95509977827051,"N","Y","ResImp"
"C01-2021-0040376","Adams","Monroe",10,"01-08-33-301-255.000-010","510",64400,64400,81600,0.78921568627451,0.78921568627451,"N","Y","ResImp"
"C01-2021-0040377","Adams","Wabash",18,"01-11-05-202-098.000-018","510",99800,99800,85800,1.16317016317016,1.16317016317016,"N","Y","ResImp"
"C01-2021-0040379","Adams","Wabash",18,"01-11-05-202-105.000-018","510",83800,83800,102800,0.815175097276265,0.815175097276265,"N","Y","ResImp"
"C01-2021-0040386","Adams","Washington",22,"01-05-03-108-005.000-022","510",95700,95700,104400,0.916666666666667,0.916666666666667,"N","Y","ResImp"
"C01-2021-0040393","Adams","Wabash",18,"01-11-05-301-024.000-018","510",315500,315500,330400,0.954903147699758,0.954903147699758,"N","Y","ResImp"
"C01-2021-0040394","Adams","Root",14,"01-02-33-200-091.000-014","510",262400,262400,280300,0.936139850160542,0.936139850160542,"N","Y","ResImp"
"C01-2021-0040395","Adams","Washington",22,"01-05-02-102-089.000-022","510",203400,203400,202900,1.00246426811237,1.00246426811237,"N","Y","ResImp"
"C01-2021-0040397","Adams","Monroe",11,"01-08-03-101-016.000-011","510",140200,140200,147600,0.949864498644986,0.949864498644986,"N","Y","ResImp"
"C01-2021-0040401","Adams","Union",16,"01-03-31-300-021.000-016","510",148500,148500,113300,1.31067961165049,1.31067961165049,"N","Y","ResImp"
"C01-2021-0040402","Adams","Monroe",11,"01-08-04-201-050.000-011","510",180500,180500,220600,0.818223028105168,0.818223028105168,"N","Y","ResImp"
"C01-2021-0040403","Adams","Root",14,"01-02-34-104-021.000-014","510",86900,86900,97300,0.89311408016444,0.89311408016444,"N","Y","ResImp"
"C01-2021-0040406","Adams","Monroe",11,"01-08-04-202-068.000-011","510",121800,121800,152800,0.797120418848168,0.797120418848168,"N","Y","ResImp"
"C01-2021-0040408","Adams","Root",14,"01-02-33-201-052.000-014","510",237700,237700,232500,1.02236559139785,1.02236559139785,"N","Y","ResImp"
"C01-2021-0040410","Adams","St. Marys",15,"01-06-20-400-002.000-015","511",238900,238900,266800,0.895427286356822,0.895427286356822,"N","Y","ResImp"
"C01-2021-0040423","Adams","Root",14,"01-02-28-301-501.219-014","510",168200,168200,145600,1.15521978021978,1.15521978021978,"N","Y","ResImp"
"C01-2021-0040444","Adams","Root",14,"01-02-34-401-063.000-014","510",172300,172300,179500,0.959888579387187,0.959888579387187,"N","Y","ResImp"
"C01-2021-0040482","Adams","Root",14,"01-02-36-302-036.000-014","510",150600,150600,171900,0.8760907504363,0.8760907504363,"N","Y","ResImp"
"C01-2021-0040485","Adams","Washington",22,"01-05-04-301-055.000-022","510",194800,194800,185700,1.04900376952073,1.04900376952073,"N","Y","ResImp"
"C01-2021-0040490","Adams","Root",14,"01-02-35-101-002.605-014","510",230000,230000,247300,0.930044480388192,0.930044480388192,"N","Y","ResImp"
"C01-2021-0040495","Adams","Monroe",11,"01-08-04-202-010.000-011","510",99200,99200,118800,0.835016835016835,0.835016835016835,"N","Y","ResImp"
"C01-2021-0040496","Adams","Washington",22,"01-05-02-102-073.000-022","510",193200,193200,224200,0.861730597680642,0.861730597680642,"N","Y","ResImp"
"C01-2021-0040503","Adams","Washington",22,"01-05-03-113-067.000-022","510",172100,172100,155200,1.10889175257732,1.10889175257732,"N","Y","ResImp"
"C01-2021-0040515","Adams","Washington",22,"01-05-03-104-033.000-022","510",122000,122000,104000,1.17307692307692,1.17307692307692,"N","Y","ResImp"
"C01-2021-0040516","Adams","Root",14,"01-02-34-104-045.000-014","510",80600,80600,92200,0.874186550976139,0.874186550976139,"N","Y","ResImp"
"C01-2021-0040526","Adams","Wabash",18,"01-11-05-201-033.000-018","510",97200,97200,86800,1.11981566820276,1.11981566820276,"N","Y","ResImp"
"C01-2021-0040543","Adams","Wabash",18,"01-11-05-105-032.000-018","510",196700,196700,195800,1.00459652706844,1.00459652706844,"N","Y","ResImp"
"C01-2021-0040545","Adams","Washington",22,"01-05-03-106-063.000-022","510",195800,195800,222100,0.881584871679424,0.881584871679424,"N","Y","ResImp"
"C01-2021-0040547","Adams","Monroe",10,"01-08-33-301-158.000-010","510",96700,96700,126500,0.764426877470356,0.764426877470356,"N","Y","ResImp"
"C01-2021-0040551","Adams","St. Marys",15,"01-06-21-401-001.000-015","510",115700,115700,132300,0.874527588813303,0.874527588813303,"N","Y","ResImp"
"C01-2021-0040599","Adams","Root",14,"01-02-33-200-046.000-014","510",136800,136800,160400,0.85286783042394,0.85286783042394,"N","Y","ResImp"
"C01-2021-0040601","Adams","Washington",22,"01-05-03-402-005.000-022","510",95700,95700,86000,1.11279069767442,1.11279069767442,"N","Y","ResImp"
"C01-2021-0040607","Adams","Root",14,"01-02-35-101-002.613-014","510",244100,244100,258100,0.945757458349477,0.945757458349477,"N","Y","ResImp"
"C01-2021-0040609","Adams","Root",14,"01-02-33-201-066.000-014","510",191400,191400,152400,1.25590551181102,1.25590551181102,"N","Y","ResImp"
"C01-2021-0040611","Adams","Wabash",19,"01-11-29-204-011.000-019","510",61600,61600,74500,0.826845637583893,0.826845637583893,"N","Y","ResImp"
"C01-2021-0040637","Adams","Root",13,"01-02-27-101-031.000-013","510",94700,94700,110100,0.860127157129882,0.860127157129882,"N","Y","ResImp"
"C01-2021-0040638","Adams","St. Marys",15,"01-06-08-300-014.000-015","511",196400,196400,238500,0.823480083857442,0.823480083857442,"N","Y","ResImp"
"C01-2021-0040639","Adams","Wabash",18,"01-11-04-302-042.000-018","510",89900,89900,108800,0.826286764705882,0.826286764705882,"N","Y","ResImp"
"C01-2021-0040640","Adams","Monroe",10,"01-08-33-301-161.000-010","510",90800,90800,88800,1.02252252252252,1.02252252252252,"N","Y","ResImp"
"C01-2021-0040645","Adams","St. Marys",15,"01-06-20-100-007.000-015","511",233200,233200,194300,1.20020586721565,1.20020586721565,"N","Y","ResImp"
"C01-2021-0040651","Adams","Root",14,"01-02-33-201-074.000-014","510",179000,179000,166000,1.07831325301205,1.07831325301205,"N","Y","ResImp"
"C01-2021-0040653","Adams","Root",14,"01-02-34-301-092.000-014","510",91700,91700,91200,1.00548245614035,1.00548245614035,"N","Y","ResImp"
"C01-2021-0040655","Adams","Root",14,"01-02-33-200-095.000-014","510",219900,219900,227900,0.964896884598508,0.964896884598508,"N","Y","ResImp"
"C01-2021-0040658","Adams","Root",14,"01-02-28-401-001.229-014","510",224100,224100,236400,0.947969543147208,0.947969543147208,"N","Y","ResImp"
"C01-2021-0040662","Adams","Washington",22,"01-05-02-103-062.000-022","510",105700,105700,139000,0.760431654676259,0.760431654676259,"N","Y","ResImp"
"C01-2021-0040664","Adams","Washington",22,"01-05-01-101-029.000-022","510",383400,383400,376700,1.01778603663393,1.01778603663393,"N","Y","ResImp"
"C01-2021-0040666","Adams","Washington",22,"01-05-03-103-059.000-022","510",132600,132600,137300,0.965768390386016,0.965768390386016,"N","Y","ResImp"
"C01-2021-0040667","Adams","Washington",22,"01-05-02-301-107.000-022","510",130400,130400,154000,0.846753246753247,0.846753246753247,"N","Y","ResImp"
"C01-2021-0040668","Adams","Washington",22,"01-05-03-432-006.000-022","510",132400,132400,120000,1.10333333333333,1.10333333333333,"N","Y","ResImp"
"C01-2021-0040670","Adams","Washington",22,"01-05-02-301-041.000-022","510",74900,74900,75000,0.998666666666667,0.998666666666667,"N","Y","ResImp"
"C01-2021-0040672","Adams","Root",14,"01-02-28-301-001.194-014","510",222000,222000,247700,0.896245458215583,0.896245458215583,"N","Y","ResImp"
"C01-2021-0040673","Adams","Washington",22,"01-05-05-201-001.031-022","510",199800,199800,247900,0.805970149253731,0.805970149253731,"N","Y","ResImp"
"C01-2021-0040679","Adams","Root",14,"01-02-36-302-055.000-014","510",179300,179300,210700,0.850972947318462,0.850972947318462,"N","Y","ResImp"
"C01-2021-0040696","Adams","Wabash",19,"01-11-29-211-025.000-019","510",47800,47800,43600,1.09633027522936,1.09633027522936,"N","Y","ResImp"
"C01-2021-0040697","Adams","Washington",23,"01-05-33-400-042.000-023","510",103300,103300,137400,0.751819505094614,0.751819505094614,"N","Y","ResImp"
"C01-2021-0040699","Adams","Monroe",10,"01-08-33-301-076.000-010","510",42700,42700,39900,1.07017543859649,1.07017543859649,"N","Y","ResImp"
"C01-2021-0040703","Adams","Washington",22,"01-05-04-407-001.000-022","520",94600,94600,78100,1.2112676056338,1.2112676056338,"N","Y","ResImp"
"C01-2021-0040709","Adams","Washington",22,"01-05-10-202-007.000-022","510",112200,112200,125500,0.89402390438247,0.89402390438247,"N","Y","ResImp"
"C01-2021-0040710","Adams","Washington",22,"01-05-04-301-025.000-022","510",157700,157700,162300,0.971657424522489,0.971657424522489,"N","Y","ResImp"
"C01-2021-0040750","Adams","Root",13,"01-02-04-300-003.000-013","511",241700,241700,246400,0.980925324675325,0.980925324675325,"N","Y","ResImp"
"C01-2021-0040779","Adams","Union",16,"01-03-31-200-006.001-016","510",174700,174700,165600,1.05495169082126,1.05495169082126,"N","Y","ResImp"
"C01-2021-0040786","Adams","Root",14,"01-02-34-104-043.000-014","510",98600,98600,114800,0.858885017421603,0.858885017421603,"N","Y","ResImp"
"C01-2021-0040791","Adams","Washington",22,"01-05-03-104-055.000-022","510",147100,147100,131200,1.12118902439024,1.12118902439024,"N","Y","ResImp"
"C01-2021-0040796","Adams","Wabash",18,"01-11-05-104-012.000-018","510",192600,192600,216200,0.890841813135985,0.890841813135985,"N","Y","ResImp"
"C01-2021-0040797","Adams","Wabash",18,"01-11-04-300-022.000-018","510",105700,105700,97300,1.0863309352518,1.0863309352518,"N","Y","ResImp"
"C01-2021-0040798","Adams","Wabash",18,"01-11-05-201-009.000-018","510",269900,269900,279900,0.964272954626652,0.964272954626652,"N","Y","ResImp"
"C01-2021-0040803","Adams","Washington",20,"01-05-16-201-003.000-020","510",310600,310600,371400,0.836295099623048,0.836295099623048,"N","Y","ResImp"
"C01-2021-0040804","Adams","Washington",20,"01-05-16-201-049.000-020","510",275300,275300,295100,0.932904100304981,0.932904100304981,"N","Y","ResImp"
"C01-2021-0040805","Adams","Wabash",18,"01-11-05-301-087.000-018","510",294000,294000,235800,1.24681933842239,1.24681933842239,"N","Y","ResImp"
"C01-2021-0040811","Adams","Washington",22,"01-05-03-113-022.000-022","510",93000,93000,71700,1.29707112970711,1.29707112970711,"N","Y","ResImp"
"C01-2021-0040817","Adams","Monroe",8,"01-08-01-101-001.001-008","510",136000,136000,114900,1.18363794604003,1.18363794604003,"N","Y","ResImp"
"C01-2021-0040836","Adams","Washington",22,"01-05-04-301-048.500-022","510",178500,178500,147800,1.20771312584574,1.20771312584574,"N","Y","ResImp"
"C01-2021-0040839","Adams","Monroe",11,"01-08-04-201-039.000-011","510",70400,70400,85600,0.822429906542056,0.822429906542056,"N","Y","ResImp"
"C01-2021-0040841","Adams","Washington",22,"01-05-03-108-004.000-022","510",106500,106500,125100,0.851318944844125,0.851318944844125,"N","Y","ResImp"
"C01-2021-0040853","Adams","Wabash",19,"01-11-29-209-008.000-019","510",69100,69100,85300,0.810082063305979,0.810082063305979,"N","Y","ResImp"
"C01-2021-0040855","Adams","Monroe",10,"01-08-32-405-009.000-010","510",126800,126800,132700,0.955538809344386,0.955538809344386,"N","Y","ResImp"
"C01-2021-0040856","Adams","Monroe",10,"01-08-33-402-006.000-010","510",80400,80400,109200,0.736263736263736,0.736263736263736,"N","Y","ResImp"
"C01-2021-0040860","Adams","French",3,"01-07-13-300-002.000-003","511",207200,207200,204900,1.01122498779893,1.01122498779893,"N","Y","ResImp"
"C01-2021-0040865","Adams","Wabash",18,"01-11-04-101-121.000-018","510",90700,90700,97800,0.927402862985685,0.927402862985685,"N","Y","ResImp"
"C01-2021-0040871","Adams","Root",14,"01-02-34-306-071.000-014","510",61800,61800,68200,0.906158357771261,0.906158357771261,"N","Y","ResImp"
"C01-2021-0040874","Adams","Washington",22,"01-05-03-306-046.000-022","510",41200,41200,33500,1.22985074626866,1.22985074626866,"N","Y","ResImp"
"C01-2021-0040877","Adams","Wabash",18,"01-11-05-301-002.508-018","510",174000,174000,170000,1.02352941176471,1.02352941176471,"N","Y","ResImp"
"C01-2021-0040881","Adams","Root",14,"01-02-33-200-115.000-014","510",275800,275800,272300,1.01285347043702,1.01285347043702,"N","Y","ResImp"
"C01-2021-0040884","Adams","Root",14,"01-02-33-301-022.000-014","510",265800,265800,253000,1.05059288537549,1.05059288537549,"N","Y","ResImp"
"C01-2021-0040886","Adams","Washington",22,"01-05-03-429-007.000-022","510",145000,145000,102100,1.42017629774731,1.42017629774731,"N","Y","ResImp"
